,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
137,2024-10-19T13:32:20.752Z,-13.7289,66.0148,10.0,5.3,mww,70.0,40.0,6.506,0.8,us,us6000nzqz,2024-10-21T15:03:41.040Z,Mid-Indian Ridge,earthquake,9.88,1.779,0.075,17.0,reviewed,us,us
138,2024-10-19T13:14:11.414Z,56.0739,160.9088,194.358,4.3,mb,36.0,109.0,3.328,0.56,us,us6000nzqt,2024-10-19T15:04:41.040Z,"27 km S of Klyuchi, Russia",earthquake,12.79,12.562,0.104,28.0,reviewed,us,us
140,2024-10-19T12:01:57.278Z,5.4714,-82.6137,10.0,4.6,mb,51.0,136.0,3.003,0.95,us,us6000nzql,2024-10-23T05:35:24.040Z,"284 km S of Burica, Panama",earthquake,9.14,1.919,0.048,128.0,reviewed,us,us
141,2024-10-19T11:41:10.336Z,37.5775,37.1532,10.0,4.5,mb,40.0,51.0,0.213,1.0,us,us6000nzqk,2024-10-23T05:14:20.040Z,"16 km NW of Pazarcık, Turkey",earthquake,3.01,1.866,0.121,20.0,reviewed,us,us
144,2024-10-19T07:08:29.354Z,34.7569,26.325,9.531,4.8,mww,82.0,130.0,1.291,0.82,us,us6000nzpu,2024-10-22T14:22:40.336Z,"49 km S of Palekastro, Greece",earthquake,7.89,4.759,0.069,20.0,reviewed,us,us
146,2024-10-19T01:20:33.849Z,-56.0801,-27.8702,132.58,4.7,mb,35.0,164.0,5.256,0.94,us,us6000nzp2,2024-10-19T01:38:43.040Z,South Sandwich Islands region,earthquake,13.89,9.258,0.089,38.0,reviewed,us,us
147,2024-10-19T00:43:37.416Z,-42.6139,-82.2238,10.0,5.0,mb,60.0,145.0,6.786,1.07,us,us6000nznv,2024-10-19T03:52:28.457Z,West Chile Rise,earthquake,9.9,1.91,0.08,50.0,reviewed,us,us
148,2024-10-19T00:18:56.716Z,-18.9181,-172.6711,32.904,4.7,mb,25.0,100.0,2.601,1.15,us,us6000nznl,2024-10-19T00:36:55.040Z,"141 km ESE of Neiafu, Tonga",earthquake,11.33,6.742,0.126,19.0,reviewed,us,us
149,2024-10-18T22:56:21.431Z,42.9402,142.145,114.073,4.3,mb,30.0,101.0,1.19,0.73,us,us6000nznc,2024-10-18T23:19:16.040Z,"18 km SE of Yūbari, Japan",earthquake,8.68,4.615,0.126,18.0,reviewed,us,us
150,2024-10-18T22:35:56.394Z,-28.6131,-71.4219,37.295,4.4,mb,16.0,146.0,0.51,1.01,us,us6000nzn6,2024-10-18T23:12:17.040Z,"64 km W of Vallenar, Chile",earthquake,4.75,10.761,0.239,5.0,reviewed,us,us
151,2024-10-18T19:59:41.225Z,54.736,-163.4326,91.956,4.3,mwr,36.0,141.0,0.121,0.61,us,us6000nzlx,2024-10-18T21:00:47.770Z,"13 km S of False Pass, Alaska",earthquake,7.96,4.428,0.086,13.0,reviewed,us,us
156,2024-10-18T14:49:59.292Z,25.4656,140.9827,144.29,4.5,mb,29.0,121.0,1.949,0.62,us,us6000nziy,2024-10-18T15:12:40.040Z,"Volcano Islands, Japan region",earthquake,7.99,6.91,0.102,28.0,reviewed,us,us
159,2024-10-18T10:26:15.917Z,15.9246,-94.7285,63.232,4.7,mb,46.0,160.0,2.516,1.23,us,us6000nzic,2024-10-22T14:22:19.753Z,"35 km SSW of San Francisco del Mar Viejo, Mexico",earthquake,9.12,9.84,0.055,100.0,reviewed,us,us
162,2024-10-18T09:18:22.191Z,25.249,142.7832,1.801,5.4,mww,95.0,84.0,1.916,0.86,us,us6000nzi5,2024-10-19T09:24:31.707Z,"Volcano Islands, Japan region",earthquake,8.88,4.49,0.059,28.0,reviewed,us,us
165,2024-10-18T07:17:17.563Z,12.1484,-89.0917,10.0,4.5,mb,52.0,172.0,1.511,0.85,us,us6000nzhn,2024-10-18T08:11:07.040Z,"138 km SSW of Puerto El Triunfo, El Salvador",earthquake,7.67,1.882,0.085,40.0,reviewed,us,us
171,2024-10-18T05:25:16.936Z,-7.5405,156.2994,10.0,4.9,mb,47.0,64.0,4.071,0.66,us,us6000nzhb,2024-10-18T05:55:27.040Z,"86 km NW of Gizo, Solomon Islands",earthquake,12.54,1.791,0.088,41.0,reviewed,us,us
173,2024-10-18T05:06:41.246Z,-23.759,179.9915,563.439,4.4,mb,32.0,103.0,5.791,0.93,us,us6000nzh7,2024-10-18T05:26:37.040Z,south of the Fiji Islands,earthquake,15.17,9.351,0.107,25.0,reviewed,us,us
174,2024-10-18T04:38:07.618Z,40.2963,142.3273,63.357,5.1,mww,103.0,133.0,1.081,0.8,us,us6000nzgv,2024-10-18T05:47:33.368Z,"48 km ENE of Noda, Japan",earthquake,7.0,6.364,0.078,16.0,reviewed,us,us
175,2024-10-18T01:41:59.235Z,-6.7196,155.0486,35.0,5.0,mb,50.0,63.0,5.552,1.15,us,us6000nzgl,2024-10-18T02:08:48.040Z,"65 km SW of Panguna, Papua New Guinea",earthquake,9.4,1.861,0.065,76.0,reviewed,us,us
178,2024-10-18T00:58:27.459Z,43.6587,-125.752,4.633,5.0,mww,78.0,91.0,0.887,0.61,us,us6000nzg2,2024-10-24T01:08:35.408Z,"121 km WNW of Barview, Oregon",earthquake,4.71,3.772,0.038,68.0,reviewed,us,us
180,2024-10-18T00:37:07.889Z,38.5183,20.4671,50.0,4.4,mb,74.0,83.0,1.545,0.82,us,us6000nzfy,2024-10-20T22:52:56.040Z,"27 km NW of Itháki, Greece",earthquake,6.01,1.99,0.087,38.0,reviewed,us,us
181,2024-10-17T22:56:28.306Z,-3.23,139.7602,47.002,4.5,mb,15.0,91.0,1.18,0.77,us,us6000nzfj,2024-10-20T22:08:32.040Z,"119 km SW of Abepura, Indonesia",earthquake,8.41,10.515,0.14,15.0,reviewed,us,us
182,2024-10-17T22:45:57.533Z,-17.9214,-178.4749,565.044,4.4,mb,32.0,68.0,2.511,0.82,us,us6000nzfg,2024-10-20T21:18:04.040Z,"234 km E of Levuka, Fiji",earthquake,14.51,9.892,0.108,25.0,reviewed,us,us
183,2024-10-17T22:37:23.702Z,37.6257,54.2282,47.547,4.1,mb,18.0,195.0,3.096,0.8,us,us6000nzfk,2024-10-20T21:00:41.040Z,"88 km NNW of Gorgān, Iran",earthquake,15.87,10.001,0.131,16.0,reviewed,us,us
185,2024-10-17T21:31:08.991Z,-27.8627,-66.5744,161.408,4.4,mb,38.0,69.0,3.392,0.99,us,us6000nzf3,2024-10-20T20:43:07.040Z,"40 km SW of Andalgalá, Argentina",earthquake,5.5,8.18,0.138,15.0,reviewed,us,us
187,2024-10-17T19:01:01.664Z,-18.9244,168.9301,169.505,4.8,mb,45.0,84.0,3.923,0.81,us,us6000nzeg,2024-10-17T21:46:09.040Z,"77 km NNW of Isangel, Vanuatu",earthquake,8.48,6.824,0.081,47.0,reviewed,us,us
189,2024-10-17T18:17:35.158Z,-6.6578,72.733,10.0,4.7,mb,40.0,119.0,0.799,0.87,us,us6000nzeb,2024-10-17T21:34:57.040Z,Chagos Archipelago region,earthquake,7.79,1.844,0.097,32.0,reviewed,us,us
192,2024-10-17T16:33:52.966Z,-56.3494,-27.1279,93.774,5.0,mb,55.0,85.0,5.731,0.95,us,us6000nzds,2024-10-17T17:11:22.040Z,South Sandwich Islands region,earthquake,11.78,6.085,0.079,51.0,reviewed,us,us
193,2024-10-17T16:23:54.813Z,-19.1065,169.3482,261.897,4.3,mb,21.0,165.0,3.916,0.89,us,us6000nzd3,2024-10-17T18:59:06.040Z,"48 km N of Isangel, Vanuatu",earthquake,14.71,10.493,0.13,17.0,reviewed,us,us
195,2024-10-17T15:33:00.513Z,5.0695,125.2397,217.9,4.4,mb,57.0,72.0,2.015,0.79,us,us6000nzcv,2024-10-17T18:40:51.040Z,"44 km SW of Sarangani, Philippines",earthquake,8.8,6.435,0.084,41.0,reviewed,us,us
196,2024-10-17T14:50:31.882Z,19.7596,-75.9358,10.0,4.6,mb,77.0,50.0,0.5,0.72,us,us6000nzct,2024-10-17T21:32:23.040Z,"31 km SSW of Santiago de Cuba, Cuba",earthquake,4.56,1.884,0.066,69.0,reviewed,us,us
